"Datum","Gemeldete FÃ¤lle","Hospitalisierungen","Verstorben"
"31.03.2021","381","6","1"
"30.03.2021","351","5","0"
"29.03.2021","204","7","0"
"28.03.2021","160","7","0"
"27.03.2021","312","7","0"
"26.03.2021","381","15","2"
"25.03.2021","374","15","1"
"24.03.2021","326","10","0"
"23.03.2021","292","16","2"
"22.03.2021","155","9","0"
"21.03.2021","95","6","0"
"20.03.2021","297","13","1"
"19.03.2021","282","18","0"
"18.03.2021","289","13","0"
"17.03.2021","327","19","2"
"16.03.2021","313","23","3"
"15.03.2021","130","15","1"
"14.03.2021","78","5","1"
"13.03.2021","271","26","3"
"12.03.2021","235","14","1"
"11.03.2021","266","16","2"
"10.03.2021","271","17","1"
"09.03.2021","254","15","1"
"08.03.2021","113","11","2"
"07.03.2021","71","3","1"
"06.03.2021","213","19","2"
"05.03.2021","217","19","1"
"04.03.2021","229","13","2"
"03.03.2021","254","20","6"
"02.03.2021","223","18","5"
"01.03.2021","104","14","4"
"28.02.2021","90","10","2"
"27.02.2021","198","18","1"
"26.02.2021","266","22","6"
"25.02.2021","249","15","4"
"24.02.2021","252","20","5"
"23.02.2021","283","26","4"
"22.02.2021","104","9","7"
"21.02.2021","112","12","2"
"20.02.2021","198","20","2"
"19.02.2021","268","23","6"
"18.02.2021","254","25","11"
"17.02.2021","246","15","6"
"16.02.2021","249","14","5"
"15.02.2021","142","11","2"
"14.02.2021","116","12","6"
"13.02.2021","190","10","3"
"12.02.2021","225","19","4"
"11.02.2021","355","28","7"
"10.02.2021","333","25","15"
"09.02.2021","311","17","8"
"08.02.2021","136","32","10"
"07.02.2021","106","14","1"
"06.02.2021","268","21","6"
"05.02.2021","260","28","5"
"04.02.2021","323","43","12"
"03.02.2021","339","30","12"
"02.02.2021","360","34","11"
"01.02.2021","131","23","7"
"31.01.2021","179","19","7"
"30.01.2021","262","20","5"
"29.01.2021","346","49","30"
"28.01.2021","383","46","16"
"27.01.2021","464","49","25"
"26.01.2021","543","43","23"
"25.01.2021","161","36","18"
"24.01.2021","156","25","10"
"23.01.2021","439","41","11"
"22.01.2021","461","42","29"
"21.01.2021","497","53","23"
"20.01.2021","483","48","23"
"19.01.2021","465","49","27"
"18.01.2021","238","29","12"
"17.01.2021","202","24","14"
"16.01.2021","351","34","22"
"15.01.2021","411","60","19"
"14.01.2021","419","41","13"
"13.01.2021","488","50","20"
"12.01.2021","404","48","18"
"11.01.2021","258","45","15"
"10.01.2021","141","18","14"
"09.01.2021","406","35","15"
"08.01.2021","523","43","19"
"07.01.2021","477","32","13"
"06.01.2021","531","45","23"
"05.01.2021","538","55","12"
"04.01.2021","261","33","17"
"03.01.2021","201","37","11"
"02.01.2021","263","35","25"
"01.01.2021","137","15","7"
"31.12.2020","352","46","14"
"30.12.2020","460","37","14"
"29.12.2020","572","58","37"
"28.12.2020","266","37","30"
"27.12.2020","187","22","15"
"26.12.2020","199","26","9"
"25.12.2020","175","22","6"
"24.12.2020","364","37","15"
"23.12.2020","665","53","28"
"22.12.2020","581","39","23"
"21.12.2020","274","38","15"
"20.12.2020","190","20","7"
"19.12.2020","434","30","9"
"18.12.2020","549","42","16"
"17.12.2020","482","25","10"
"16.12.2020","517","45","25"
"15.12.2020","496","32","15"
"14.12.2020","211","21","9"
"13.12.2020","142","23","3"
"12.12.2020","439","30","7"
"11.12.2020","425","21","6"
"10.12.2020","459","20","24"
"09.12.2020","341","28","12"
"08.12.2020","355","20","9"
"07.12.2020","176","19","3"
"06.12.2020","119","9","5"
"05.12.2020","260","25","7"
"04.12.2020","272","13","5"
"03.12.2020","250","24","11"
"02.12.2020","281","11","3"
"01.12.2020","205","12","3"
"30.11.2020","107","10","4"
"29.11.2020","76","6","0"
"28.11.2020","169","9","2"
"27.11.2020","229","13","4"
"26.11.2020","234","18","8"
"25.11.2020","268","18","2"
"24.11.2020","220","13","0"
"23.11.2020","151","13","2"
"22.11.2020","114","5","1"
"21.11.2020","142","9","0"
"20.11.2020","269","12","0"
"19.11.2020","233","14","2"
"18.11.2020","231","11","0"
"17.11.2020","246","14","2"
"16.11.2020","127","17","5"
"15.11.2020","100","8","0"
"14.11.2020","189","14","1"
"13.11.2020","288","18","3"
"12.11.2020","227","24","1"
"11.11.2020","285","15","3"
"10.11.2020","209","17","2"
"09.11.2020","246","18","3"
"08.11.2020","154","6","1"
"07.11.2020","248","10","1"
"06.11.2020","233","16","3"
"05.11.2020","258","14","3"
"04.11.2020","249","18","7"
"03.11.2020","219","11","0"
"02.11.2020","174","16","5"
"01.11.2020","150","12","2"
"31.10.2020","240","13","7"
"30.10.2020","303","18","3"
"29.10.2020","251","10","3"
"28.10.2020","269","14","4"
"27.10.2020","284","21","8"
"26.10.2020","156","14","3"
"25.10.2020","78","3","2"
"24.10.2020","151","6","1"
"23.10.2020","193","12","4"
"22.10.2020","225","18","4"
"21.10.2020","162","14","1"
"20.10.2020","125","9","5"
"19.10.2020","158","15","3"
"18.10.2020","34","6","2"
"17.10.2020","51","1","0"
"16.10.2020","94","9","3"
"15.10.2020","80","3","2"
"14.10.2020","71","2","1"
"13.10.2020","66","2","0"
"12.10.2020","66","6","1"
"11.10.2020","22","3","0"
"10.10.2020","27","1","0"
"09.10.2020","57","2","0"
"08.10.2020","63","4","0"
"07.10.2020","54","4","0"
"06.10.2020","54","0","0"
"05.10.2020","35","1","0"
"04.10.2020","23","4","1"
"03.10.2020","19","0","0"
"02.10.2020","39","1","0"
"01.10.2020","38","4","0"
"30.09.2020","44","1","0"
"29.09.2020","46","2","0"
"28.09.2020","44","1","0"
"27.09.2020","7","0","0"
"26.09.2020","23","1","0"
"25.09.2020","58","2","1"
"24.09.2020","57","6","0"
"23.09.2020","48","2","0"
"22.09.2020","30","1","0"
"21.09.2020","27","2","1"
"20.09.2020","17","0","0"
"19.09.2020","29","3","0"
"18.09.2020","32","0","0"
"17.09.2020","36","3","0"
"16.09.2020","30","1","0"
"15.09.2020","35","2","0"
"14.09.2020","24","1","0"
"13.09.2020","9","1","0"
"12.09.2020","9","1","0"
"11.09.2020","11","2","0"
"10.09.2020","16","0","0"
"09.09.2020","24","2","0"
"08.09.2020","21","1","0"
"07.09.2020","19","1","0"
"06.09.2020","4","0","0"
"05.09.2020","8","1","0"
"04.09.2020","9","0","0"
"03.09.2020","21","2","0"
"02.09.2020","26","2","0"
"01.09.2020","16","1","0"
"31.08.2020","15","1","0"
"30.08.2020","9","0","0"
"29.08.2020","5","0","0"
"28.08.2020","17","0","0"
"27.08.2020","18","0","0"
"26.08.2020","22","0","0"
"25.08.2020","28","0","0"
"24.08.2020","22","0","0"
"23.08.2020","6","0","0"
"22.08.2020","14","2","0"
"21.08.2020","14","0","0"
"20.08.2020","24","0","0"
"19.08.2020","22","0","0"
"18.08.2020","18","1","0"
"17.08.2020","15","0","0"
"16.08.2020","2","0","0"
"15.08.2020","19","0","0"
"14.08.2020","33","4","0"
"13.08.2020","22","0","0"
"12.08.2020","38","3","1"
"11.08.2020","52","2","0"
"10.08.2020","35","5","0"
"09.08.2020","8","0","0"
"08.08.2020","9","1","0"
"07.08.2020","10","0","0"
"06.08.2020","36","1","0"
"05.08.2020","17","0","1"
"04.08.2020","22","2","0"
"03.08.2020","17","2","0"
"02.08.2020","7","1","0"
"01.08.2020","16","1","0"
"31.07.2020","24","1","0"
"30.07.2020","26","4","0"
"29.07.2020","31","3","0"
"28.07.2020","27","2","0"
"27.07.2020","23","4","2"
"26.07.2020","7","1","0"
"25.07.2020","7","1","0"
"24.07.2020","12","3","1"
"23.07.2020","8","2","0"
"22.07.2020","17","1","0"
"21.07.2020","6","1","0"
"20.07.2020","9","1","0"
"19.07.2020","7","0","0"
"18.07.2020","4","0","0"
"17.07.2020","14","2","1"
"16.07.2020","2","0","0"
"15.07.2020","8","4","0"
"14.07.2020","7","0","0"
"13.07.2020","8","3","1"
"12.07.2020","8","1","0"
"11.07.2020","0","0","0"
"10.07.2020","2","0","0"
"09.07.2020","3","0","0"
"08.07.2020","7","1","1"
"07.07.2020","4","0","0"
"06.07.2020","0","0","0"
"05.07.2020","5","0","0"
"04.07.2020","3","0","0"
"03.07.2020","4","0","0"
"02.07.2020","5","0","0"
"01.07.2020","12","1","0"
"30.06.2020","5","0","0"
"29.06.2020","3","0","0"
"28.06.2020","1","0","0"
"27.06.2020","3","0","0"
"26.06.2020","1","1","0"
"25.06.2020","6","1","1"
"24.06.2020","4","0","0"
"23.06.2020","1","0","0"
"22.06.2020","0","0","0"
"21.06.2020","2","1","0"
"20.06.2020","1","0","0"
"19.06.2020","2","0","0"
"18.06.2020","9","0","0"
"17.06.2020","0","0","0"
"16.06.2020","1","0","0"
"15.06.2020","2","1","0"
"14.06.2020","0","0","0"
"13.06.2020","0","0","0"
"12.06.2020","1","1","1"
"11.06.2020","3","1","0"
"10.06.2020","2","0","0"
"09.06.2020","1","0","0"
"08.06.2020","2","0","0"
"07.06.2020","1","0","0"
"06.06.2020","2","0","0"
"05.06.2020","2","1","0"
"04.06.2020","0","0","0"
"03.06.2020","0","0","0"
"02.06.2020","1","0","0"
"01.06.2020","5","0","0"
"31.05.2020","3","0","0"
"30.05.2020","4","0","0"
"29.05.2020","14","3","2"
"28.05.2020","6","1","0"
"27.05.2020","0","0","0"
"26.05.2020","7","2","0"
"25.05.2020","0","0","0"
"24.05.2020","0","0","0"
"23.05.2020","0","0","0"
"22.05.2020","18","4","1"
"21.05.2020","23","2","0"
"20.05.2020","9","1","0"
"19.05.2020","14","3","1"
"18.05.2020","0","0","0"
"17.05.2020","1","0","0"
"16.05.2020","2","1","0"
"15.05.2020","7","0","0"
"14.05.2020","5","0","0"
"13.05.2020","12","0","0"
"12.05.2020","16","3","0"
"11.05.2020","5","0","1"
"10.05.2020","20","4","1"
"09.05.2020","20","1","0"
"08.05.2020","22","4","1"
"07.05.2020","34","4","1"
"06.05.2020","16","2","0"
"05.05.2020","49","6","0"
"04.05.2020","15","3","0"
"03.05.2020","49","1","0"
"02.05.2020","11","2","2"
"01.05.2020","13","2","1"
"30.04.2020","19","5","1"
"29.04.2020","18","4","0"
"28.04.2020","23","4","1"
"27.04.2020","13","1","1"
"26.04.2020","6","4","1"
"25.04.2020","16","3","2"
"24.04.2020","39","8","2"
"23.04.2020","41","5","2"
"22.04.2020","35","8","5"
"21.04.2020","38","7","2"
"20.04.2020","28","13","4"
"19.04.2020","9","2","1"
"18.04.2020","25","6","2"
"17.04.2020","40","6","3"
"16.04.2020","51","7","3"
"15.04.2020","42","8","3"
"14.04.2020","18","1","1"
"13.04.2020","98","5","12"
"12.04.2020","16","3","0"
"11.04.2020","40","7","3"
"10.04.2020","34","4","1"
"09.04.2020","92","13","5"
"08.04.2020","90","19","5"
"07.04.2020","112","21","11"
"06.04.2020","61","15","5"
"05.04.2020","36","4","1"
"04.04.2020","69","11","3"
"03.04.2020","112","13","7"
"02.04.2020","112","18","4"
"01.04.2020","102","19","7"
"31.03.2020","104","24","5"
"30.03.2020","78","18","5"
"29.03.2020","43","13","2"
"28.03.2020","82","16","1"
"27.03.2020","117","19","2"
"26.03.2020","96","23","4"
"25.03.2020","86","13","4"
"24.03.2020","100","15","4"
"23.03.2020","94","16","3"
"22.03.2020","34","9","3"
"21.03.2020","45","5","3"
"20.03.2020","78","12","1"
"19.03.2020","60","2","0"
"18.03.2020","53","8","4"
"17.03.2020","46","7","2"
"16.03.2020","29","2","0"
"15.03.2020","21","0","0"
"14.03.2020","24","1","0"
"13.03.2020","27","3","0"
"12.03.2020","18","2","1"
"11.03.2020","19","1","0"
"10.03.2020","7","0","0"
"09.03.2020","3","0","0"
"08.03.2020","1","0","0"
"07.03.2020","0","0","0"
"06.03.2020","2","1","0"
"05.03.2020","1","0","0"
"04.03.2020","0","0","0"
"03.03.2020","1","1","0"
"02.03.2020","2","0","0"
"01.03.2020","0","0","0"
"29.02.2020","1","0","0"
"28.02.2020","1","1","0"

"Datenstand 31.03.2021 20:07:24"
